uid,collection_uid,name,alt_name,acronym,subdiv_ind,menu_gwn_ind
dn,pi-su,Dīgha Nikāya,,DN,,
mn,pi-su,Majjhima Nikāya,,MN,,
sn,pi-su,Saṃyutta Nikāya,,SN,1,
an,pi-su,Aṅguttara Nikāya,,AN,1,
kn,pi-su,Khuddaka Nikāya,,KN,1,
da,lzh-su,Dīrghāgama,,DA [T 1],,
da-ot,lzh-su,Other Dīrgha Sūtras,,T 2–25,,
ma,lzh-su,Madhyamāgama,,MA [T 26],,
ma-ot,lzh-su,Other Madhyama Sūtras,,T 27–98,,
sa,lzh-su,Saṃyuktāgama (1st),,SA [T 99],1,
sa-2,lzh-su,Saṃyuktāgama (2nd),,SA2 [T 100],,
sa-3,lzh-su,Saṃyuktāgama (3rd),,SA3 [T 101],,
sa-ot,lzh-su,Other Saṃyukta Sūtras,,T 102–124,,
ea,lzh-su,Ekottarikāgama (1st),,EA [T 125],1,
ea-2,lzh-su,Ekottarikāgama (2nd),,EA2 [T 150A],,
ea-ot,lzh-su,Other Ekottarika Sūtras,,"T 126–149, 150B, 151",,
#oa,lzh-su,Other Āgama Sūtras,,T,1,
lzh-ja,lzh-su,Jātaka,,T 152–219,,
lzh-dhp,lzh-su,Dharmapada,,,,
lzh-nbs,lzh-su,Nāgasena Bhikṣu Sūtra,,T 1670b,,
lzh-ssnp,lzh-su,Sūtrasannipāta,,T 499–802,,
lzh-paritta,lzh-su,Paritta,,T 1245 T1362,,
lzh-svk,lzh-su,Sūtravyākaraṇa,,T 1507–T1521,,
arv,skt-su,Arthaviniścaya,,Arv,,
avs,skt-su,Avadānaśataka,,Avs,,
divy,skt-su,Divyāvadāna,,Divy,,
lal,skt-su,Lalitavistara,,Lal,,
uv,skt-su,Udānavarga,,UV,,
mkv,skt-su,Mahākarmavibhaṅga,,Mkv,,
sht,skt-su,SHT fragments,,SHT,,
sf,skt-su,Other Fragments,,SF,,
dq,bo-su,Derge / Peking editions,,D / Q,,
up,bo-su,Upāyikā,Abhidharma­kośa­ṭīk­opāyikā,Up,,
tc,bo-su,Critical editions,,Tib ed,,
kf,oth-su,Khotanese fragments,,Khot frgm,,
uf,oth-su,Uighur fragments,,Uigh frgm,,
pdhp,pr-su,Patna Dharmapada,,P-Dhp,,
pf,pr-su,Prākrit fragments,,Prak frgm,,
gdhp,gr-su,Gāndhārī Dharmapada,,G-Dhp,,
gf,gr-su,Gāndhārī fragments,,Gandh frgm,,
,,,,,,
# Vinaya Divisions,,,,,,
pi-tv-bu-vb,pi-tv-vi,Bhikkhu Vibhaṅga,,,,1
