uid,iso_code,name,isroot,priority,search_priority
af,af,Afrikaans,,5,20.5
ar,ar,Arabic,,5,20.5
bo,bo,Tibetan,1,5,18
ca,ca,Català,,9,17
cs,cs,Čeština,,8,22
de,de,Deutsch,,5,4
en,en,English,,2,1
es,es,Español,,4,9
fa,fa,Farsi,,9,20
fi,fi,Suomi,,4,23
fr,fr,Français,,4,6.5
he,he,Hebrew,,5,23
hi,hi,हिन्दी,,3,20
hu,hu,Magyar,,9,21
id,id,Indonesian,,4,8
it,it,Italiano,,9,14
jp,jp,日本語,,7,12.5
ko,ko,한국어/조선말,,7,12
nl,nl,Nederlands,,4,16
no,no,Norsk,,4,14.5
oth,ot,Other,1,9,20
pi,pi,Pāli,1,3,2
pl,pl,Polski,,9,18
pt,pt,Português,,9,11
ru,ru,ру́сский язы́к,,9,10
skt,sa,Sanskrit,1,4,7
si,si,සිංහල,,2,10.5
sr,sr,Srpski,,5,19.5
sv,sv,Svenska,,5,19
ta,ta,தமிழ்,,3,10.5
th,th,ไทย,,4,13
ug,ug,Uighur,,9,15.5
vn,vn,Tiếng Việt,,8,5
lzh,lzh,Chinese,1,1,3
zh,zh,汉语,,3,5.5
my,my,မြန်မာဘာသာ,,4,6
gr,gr,Gāndhārī,1,5,19
pr,pr,Prākrit,1,5,19
mr,mr,मराठी,,3,21
ro,ro,Română,,5,22
la,la,Latin,,9,22
