bj,Buddhajayantītripiṭakagranthamālā 2501–2531,Sinhala
cck,Chulachomklao Tipiṭaka 2436,Siam
csp1ed,Chaṭṭhasaṅgīti Piṭakaṃ 2496–2499,Burmese
csp2ed,Chaṭṭhasaṅgīti Tipiṭaka 2500–2506,Burmese
dr,Dayyaraṭṭhassa Saṅgītitepiṭakaṃ 2530,Thai
km,Phratraipiṭakapāḷi 2501–2512,Khmer (Mūla)
lv,Lāvaraṭṭhassa 2500,Laotian
mc,Mahācūḷātepiṭakaṃ 2503–2533,Thai
mr,Maramma Tipiṭaka 2541 (1997),Burmese
mk,Mahāmakurājāvidyālai 2466,Thai
ndp,Nālandā-Devanāgarī-Pāḷi-Series 2500–2505,Devanāgarī
pts,Pali Text Society,Roman
pts1ed,Pali Text Society (1st edition),Roman
pts2ed,Pali Text Society (2nd edition),Roman
sya1ed,Syāmaraṭṭhassa Tepiṭakaṃ 2469–2471,Thai
sya2ed,Syāmaraṭṭhassa Tepiṭakaṃ 2538,Thai
vri,Vipassanā Research Institute 2537–2542,Devanāgarī
