msbook,msnum,edition,vol,page
1v,2,s1,1,1
1v,2,c1,1,1
1v,2,lv,1,1
1v,2,,1,2
1v,2,nd,1,3
1v,2,c2,1,1
1v,2,km,1,1
1v,2,,1,2
1v,2,dy,1,1
1v,2,bj,1,2
1v,2,mc,1,1
1v,2,pts1,3,1
1v,2,s3,1,1
1v,2,vp,87,1
1v,2,,87,2
1v,3,s1,1,2
1v,3,c1,1,2
1v,3,lv,1,3
1v,3,nd,1,4
1v,3,c2,1,2
1v,3,km,1,3
1v,3,dy,1,2
1v,3,bj,1,4
1v,3,mc,1,2
1v,3,pts1,3,2
1v,3,s3,1,2
1v,4,lv,1,4
1v,4,km,1,4
1v,5,s1,1,3
1v,5,lv,1,5
1v,5,km,1,5
1v,5,s3,1,3
1v,6,dy,1,3
1v,6,mc,1,3
1v,7,c1,1,3
1v,7,lv,1,6
1v,7,c2,1,3
1v,7,km,1,6
1v,7,bj,1,6
1v,7,vp,87,3
1v,8,s1,1,4
1v,8,lv,1,7
1v,8,nd,1,5
1v,8,km,1,7
1v,8,pts1,3,3
1v,8,s3,1,4
1v,10,lv,1,8
1v,10,km,1,8
1v,10,dy,1,4
1v,10,mc,1,4
1v,11,s1,1,5
1v,11,c1,1,4
1v,11,lv,1,9
1v,11,c2,1,4
1v,11,km,1,9
1v,11,dy,1,5
1v,11,bj,1,8
1v,11,s3,1,5
1v,11,vp,87,4
1v,12,lv,1,10
1v,12,nd,1,6
1v,12,km,1,10
1v,13,s1,1,6
1v,13,lv,1,11
1v,13,km,1,11
1v,13,mc,1,5
1v,13,pts1,3,4
1v,13,s3,1,6
1v,14,c1,1,5
1v,14,lv,1,12
1v,14,c2,1,5
1v,14,km,1,12
1v,14,bj,1,10
1v,14,vp,87,5
1v,15,s1,1,7
1v,15,lv,1,13
1v,15,,1,14
1v,15,nd,1,7
1v,15,km,1,13
1v,15,dy,1,6
1v,15,mc,1,6
1v,15,s3,1,7
1v,16,s1,1,8
1v,16,c1,1,6
1v,16,lv,1,15
1v,16,nd,1,8
1v,16,c2,1,6
1v,16,km,1,14
1v,16,,1,15
1v,16,dy,1,7
1v,16,bj,1,12
1v,16,pts1,3,5
1v,16,s3,1,8
1v,16,vp,87,6
1v,17,s1,1,9
1v,17,lv,1,16
1v,17,,1,17
1v,17,km,1,16
1v,17,dy,1,8
1v,17,mc,1,7
1v,17,pts1,3,6
1v,17,s3,1,9
1v,18,s1,1,10
1v,18,c1,1,7
1v,18,lv,1,18
1v,18,nd,1,9
1v,18,c2,1,7
1v,18,km,1,17
1v,18,,1,18
1v,18,bj,1,14
1v,18,s3,1,10
1v,19,lv,1,19
1v,19,km,1,19
1v,19,dy,1,9
1v,19,mc,1,8
1v,19,vp,87,7
