uid,acro,name
an,AN,Aṅguttara Nikāya
ap,Ap,Āpadāna
arv,Arv,Arthaviniścaya
avs,Avs,Avadānaśataka
bv,Bv,Buddhavaṃsa
cnd,Cnd,Cūḷaniddesa
cp,Cp,Cariyāpiṭaka
da,DA,Dīrghāgama
kag,KA,Khuddakāgama
dhp,Dhp,Dhammapada
gdhp,G-Dhp,"Gāndhārī Dharmapada"
g2dhp,G-2-Dhp,"Gāndhārī Dharmapada British Library Fragment 16"
g3dhp,G-3-Dhp,"Gāndhārī Dharmapada Split Collection Fragment 3"
pdhp,P-Dhp,"Prākrit Dharmapada"
divy,Divy,Divyāvadāna
dk,Dk,Dharmaskandha
dn,DN,Dīgha Nikāya
dq,D,Derge/Peking editions
q,Q,"Qianlong (Peking edition of Tibetan canon)"
dt,Dt,Dhātukathā
dr,Dr,Dayyaraṭṭhassa Saṅgītitepiṭakaṁ
ds,Ds,Dhammasaṅgaṇī
dhs,Ds,Dhammasaṅgaṇī
ea,EA,Ekottarikāgama (1st)
ea-2,EA2 [T 150A],Ekottarikāgama (2nd)
gf,Gandh,Gāndhārī fragments
iti,Iti,Itivuttaka
ja,Ja,Jātaka
jp,Jp,Jnānaprasthāna
kf,Khot,Khotanese fragments
kn,KN,Khuddaka Nikāya
kp,Kp,Khuddakapāṭha
kv,Kv,Kathāvatthu
kdv,Kdv,Khuddakavatthu
lal,Lal,Lalitavistara
ma,MA,Madhyamāgama
mc,Mc,Mahācūḷātepiṭakaṁ
mpt,Mpt,Mahāvyutpatti
mh,Mh,Mahāsūtras
mil,Mil,Milindapañha
mn,MN,Majjhima Nikāya
mnd,Mnd,Mahāniddesa
ms,Ms,Mahasaṅgīti Tipiṭaka
mv,Mv,Mahāvastu
mvu,Mvu,Mahāvastu
nd,Nd,Niddesa
ne,Ne,Nettipakaraṇa
t1670a,T 1670 A,Nāgasena Bhikṣu Sūtra (1st)
t1670b,T 1670 B,Nāgasena Bhikṣu Sūtra (2nd)
oa,Oa,Other Āgama Sūtras
pe,Pe,Peṭakopadesa
pk,Pk,Prakaraṇapada
pp,Pp,Puggalapaññatti
ps,Ps,Paṭisambhidāmagga
patthana,Patthana,Paṭṭhāna
pf,Prak,Prākrit fragments
pu,Pu,Puggalavāda
praj,Praj,Prajnaptiśāstra
prv,Prv,Parivāra
pv,Pv,Petavatthu
sa,SA,Saṃyuktāgama (1st)
sa-2,SA-2,Saṃyuktāgama (2nd)
sa-3,SA-3,Saṃyuktāgama (3rd)
sab,Sab,Śāriputrābhidharma
sb,Sb,Saṅghabhedavastu
sf,SF,Other Fragments
sg,Sg,Saṅgītiparyāya
sht,SHT,SHT fragments
sn,SN,Saṃyutta Nikāya
snp,Snp,"Sutta Nipāta"
spp,Spp,Śāriputraparipṛcchā
