subdivision_uid,number,name
sht,1,"SHT 1 – ed. W. Clawiter, L. Holzmann, E. Waldschmidt 1965"
sht,2,"SHT 2 – ed. W. Clawiter, L. Holzmann, E. Waldschmidt 1968"
sht,3,"SHT 3 – ed. W. Clawiter, L. Holzmann, E. Waldschmidt 1971"
sht,4,"SHT 4 – ed. L. Sander, E. Waldschmidt 1980"
sht,5,"SHT 5 – ed. L. Sander, E. Waldschmidt 1985"
sht,6,"SHT 6 – ed. H. Bechert, K. Wille 1989"
sht,7,"SHT 7 – ed. H. Bechert, K. Wille 1995"
sht,8,"SHT 8 – ed. H. Bechert, K. Wille 2000"
sht,9,"SHT 9 – ed. H. Bechert, K. Wille 2004"
sht,10,"SHT 10 – ed. K. Wille 2008"
dn,1,Sīlakkhandha Vagga
dn,2,Mahā Vagga
dn,3,Pāṭika Vagga
mn,1,Mūlapariyāya Vagga
mn,2,Sīhanāda Vagga
mn,3,Tatiya Vagga
mn,4,Mahāyamaka Vagga
mn,5,Cūḷayamaka Vagga
mn,6,Gahapati Vagga
mn,7,Bhikkhu Vagga
mn,8,Paribbājaka Vagga
mn,9,Rāja Vagga
mn,10,Brāhmaṇa Vagga
mn,11,Devadaha Vagga
mn,12,Anupada Vagga
mn,13,Suññata Vagga
mn,14,Vibhaṅga Vagga
mn,15,Saḷāyatana Vagga
sn1,1,Nala Vagga 
sn1,2,Nandana Vagga
sn1,3,Satti Vagga
sn1,4,Satullapakāyika Vagga 
sn1,5,Āditta Vagga
sn1,6,Jarā Vagga
sn1,7,Anva Vagga
sn1,8,Jhatvā Vagga
sn2,1,Suriya Vagga
sn2,2,Anāthapiṇḍika Vagga
sn2,3,Nānātitthiya Vagga
sn3,1,Bandhana Vagga
sn3,2,Aputtaka Vagga
sn3,3,Kosala Vagga
sn4,1,Āyu Vagga
sn4,2,Rajja Vagga
sn4,3,Māra Vagga
sn5,1,Bhikkhūnī Vagga
sn6,1,Kokālika Vagga
sn6,2,Parinibbāṇa Vagga
sn7,1,Arahanta Vagga
sn7,2,Upāsaka Vagga
sn8,1,Vaṅgīsa Vagga
sn9,1,Vana Vagga
sn10,1,Indaka Vagga
sn11,1,Suvīra Vagga
sn11,2,Sattavata Vagga
sn11,3,Sakkapañcakaṃ Vagga
sn12,1,Buddha Vagga
sn12,2,Āhāra Vagga
sn12,3,Dasabala Vagga
sn12,4,Kaḷārakhattiya Vagga
sn12,5,Gahapati Vagga
sn12,6,Dukkha Vagga
sn12,7,Mahā Vagga
sn12,8,Samaṇabrāhmaṇa Vagga
sn12,9,Antarapeyyāla Vagga
sn13,1,Abhisamaya Vagga
sn14,1,Nanatta Vagga
sn14,2,Sattadhātu Vagga
sn14,3,Kammapatha Vagga
sn14,4,Catudhātu Vagga
sn15,1,Tiṇakaṭṭha Vagga
sn15,2,Duggata Vagga
sn16,1,Kassapa Vagga
sn17,1,Dāruṇa Vagga
sn17,2,Pāti Vagga
sn17,3,Mātugāma Vagga
sn17,4,Saṅghabheda Vagga
sn18,1,Paṭhama Rāhula Vagga
sn18,2,Dutiya Rāhula Vagga
sn19,1,Paṭhama Lakkhaṇa Vagga
sn19,2,Dutiya Lakkhaṇa Vagga
sn20,1,Opamma Vagga
sn21,1,Bhikkhu Vagga
sn22,1,Nakulapitu Vagga
sn22,2,Anicca Vagga
sn22,3,Bhāra Vagga
sn22,4,Natumhāka Vagga
sn22,5,Attadīpa Vagga
sn22,6,Upaya Vagga
sn22,7,Arahatta Vagga
sn22,8,Khajjanīya Vagga
sn22,9,Thera Vagga
sn22,10,Puppha Vagga
sn22,11,Anta Vagga
sn22,12,Dhammakathika Vagga
sn22,13,Avijjā Vagga
sn22,14,Kukkuḷa Vagga
sn22,15,Diṭṭhi Vagga
sn23,1,Paṭhama Māra Vagga
sn23,2,Dutiya Māra Vagga
sn23,3,Āyācana Vagga
sn23,4,Upanisinna Vagga
sn24,1,Sotāpatti Vagga
sn24,2,Dutiya Gamana  Vagga
sn24,3,Tatiya Gamana Vagga
sn24,4,Catuttha Gamana Vagga
sn25,1,Cakkhu Vagga
sn26,1,Uppāda Vagga
sn27,1,Kilesa Vagga
sn28,1,Sāriputta Vagga
sn29,1,Nāga Vagga
sn30,1,Supaṇṇa Vagga
sn31,1,Gandhabba Vagga
sn32,1,Valāhaka Vagga
sn33,1,Vacchagotta Vagga
sn34,1,Jhāna Vagga
sn35,1,Anicca Vagga
sn35,2,Yamaka Vagga
sn35,3,Sabba Vagga
sn35,4,Jātidhamma Vagga
sn35,5,Sabbānicca Vagga
sn35,6,Avijjā Vagga
sn35,7,Migajāla Vagga
sn35,8,Gilāna Vagga
sn35,9,Channa Vagga
sn35,10,Chala Vagga
sn35,11,Yogakkhemi Vagga
sn35,12,Lokakāmaguṇa Vagga
sn35,13,Gahapati Vagga
sn35,14,Devadaha Vagga
sn35,15,Navapurāṇa Vagga
sn35,16,Nandikkhaya Vagga
sn35,17,Saṭṭhipeyyāla
sn35,18,Samudda Vagga
sn35,19,Āsivisa Vagga
sn36,1,Sagāthā Vagga
sn36,2,Rahogata Vagga
sn36,3,Aṭṭhasatapariyāya Vagga
sn37,1,Mātugāma Vagga
sn37,2,Anuruddha Vagga
sn37,3,Bala Vagga
sn38,1,Jambukhādaka Vagga
sn39,1,Sāmaṇḍaka Vagga
sn40,1,Moggallāna Vagga 
sn41,1,Citta Vagga
sn42,1,Gāmaṇī Vagga
sn43,1,Paṭhama Asaṅkhata Vagga
sn43,2,Dutiya Asaṅkhata Vagga
sn44,1,Abyākata Vagga
sn45,1,Avijjā Vagga
sn45,2,Vihāra Vagga
